Comment,Designator,Footprint,
1u,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
6p,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
8p,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
8p,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
6p,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
4.7u,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.01u,C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10u,C19,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C25,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
GREEN LED,D1,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
RED_LED,D3,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
Fuse-2410FA,F1,2410FA,
Conn_01x08_Male,J1,PinHeader_2x04_P2.54mm_Vertical,
Barrel_Jack_Switch,J2,BarrelJack_Wuerth_6941xx301002,
terminal_custom_12pin,J3,1984714,
Conn_01x08_Male,J4,PinHeader_1x08_P2.54mm_Vertical,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
